---
| Filename                | Actual Size    | Recommended Size   | Usage/Notes                       | URL                                                        |
|-------------------------|----------------|--------------------|-----------------------------------|------------------------------------------------------------|
| banner-image-1.jpg      | 688x859        | 1200x600px         | Banner/Hero/Swiper                | https://themewagon.github.io/kaira/images/banner-image-1.jpg |
| bg-newsletter.jpg       | 2740x1200      | 1200x400px         | Newsletter background             | https://themewagon.github.io/kaira/images/bg-newsletter.jpg |
| cat-item1.jpg           | 460x495        | 400x400px          | Category grid                     | https://themewagon.github.io/kaira/images/cat-item1.jpg    |
| cat-large-item1.jpg     | 627x814        | 800x400px          | Large category                    | https://themewagon.github.io/kaira/images/cat-large-item1.jpg |
| cat-sm-item.jpg         | 627x465        | 200x200px          | Small category                    | https://themewagon.github.io/kaira/images/cat-sm-item.jpg  |
| collection-banner.jpg   | 1405x1000      | 1200x400px         | Collection banner                 | https://themewagon.github.io/kaira/images/collection-banner.jpg |
| insta-item1.jpg         | 400x400        | 300x300px          | Instagram gallery                 | https://themewagon.github.io/kaira/images/insta-item1.jpg  |
| light-logo.png          | 112x45         | 112x45px           | Header logo                       | https://themewagon.github.io/kaira/images/light-logo.png   |
| main-logo.png           | 110x26         | 112x45px           | Main logo                         | https://themewagon.github.io/kaira/images/main-logo.png    |
| newsletter-image.jpg    | 1920x470       | 1200x400px         | Newsletter image                  | https://themewagon.github.io/kaira/images/newsletter-image.jpg |
| post-image1.jpg         | 460x292        | 400x400px          | Blog post grid                    | https://themewagon.github.io/kaira/images/post-image1.jpg  |
| post-large-image1.jpg   | 1060x673       | 800x400px          | Large blog post                   | https://themewagon.github.io/kaira/images/post-large-image1.jpg |
| post-small-image1.jpg   | 123x116        | 200x200px          | Small blog post                   | https://themewagon.github.io/kaira/images/post-small-image1.jpg |
| product-item-1.jpg      | 704x956        | 400x500px          | Product grid/carousel             | https://themewagon.github.io/kaira/images/product-item-1.jpg |
| single-image-2.jpg      | 1404x1372      | 800x1000px         | Product detail/feature            | https://themewagon.github.io/kaira/images/single-image-2.jpg |
| video-image.jpg         | 1920x898       | 1200x600px         | Video section                     | https://themewagon.github.io/kaira/images/video-image.jpg  |
| wishlist-item1.jpg      | 121x164        | 200x200px          | Wishlist item                     | https://themewagon.github.io/kaira/images/wishlist-item1.jpg |
---
